74.6,0
74.6,0
74.4,0
74.2,0
74,0
73.8,0
73.6,0
73.5,0
73.4,0
73.3,0
73,0
67,0
63.8,0
58.7,0
58,0
55,0
54.3,0
53.6,0
53.1,0
52.7,0
52.5,0
52,0
51.9,0
51.4,0
49.6,0
48.9,0
50,2.8
57.7,2.9
57.4,2.9
56,2.9
51.4,2.9
52.1,3
52.9,3.1
57.9,3.3
51,3.4
58,3.5
56,3.5
53.7,3.5
51,3.6
58.1,3.7
54.5,3.7
55.2,3.8
51.6,3.8
52.4,3.9
51.2,3.9
45.3,3.9
58.6,4
56,4
57.1,4.2
59.1,4.3
58.1,4.3
53.3,4.3
52.5,4.3
58.5,4.4
51.5,4.4
49.8,4.4
59.8,4.5
58.2,4.5
58,4.5
51.3,4.5
55,4.6
45.3,4.6
58.8,4.7
54.3,4.7
51.9,4.7
47.6,4.7
59.4,4.8
52.5,4.8
57.3,4.9
56.6,4.9
56.4,4.9
56,4.9
55.4,4.9
55.3,4.9
53.2,4.9
51.2,4.9
48,4.9
64.7,5
64.4,5
64,5
63.6,5
62.9,5
62,5
59.1,5
63,5.1
62.1,5.1
54,5.1
52.5,5.1
48.1,5.1
45.7,5.1
67,5.2
61.4,5.2
57.5,5.2
54,5.2
52.6,5.2
52,5.2
46,5.2
69,5.3
69,5.3
62.8,5.3
62,5.3
61.4,5.3
59.7,5.3
45.6,5.3
63,5.4
61.8,5.4
59.4,5.4
57.9,5.4
56.1,5.4
55,5.4
49,5.4
48.4,5.4
45.6,5.4
63.2,5.5
61.3,5.5
58.6,5.5
54.8,5.5
52.9,5.5
52.8,5.5
48.5,5.5
46.5,5.5
63.7,5.6
63.5,5.6
59.6,5.6
59.4,5.6
58.9,5.6
53.4,5.6
48.6,5.6
48.5,5.6
45.7,5.6
59.7,5.7
58.4,5.7
49.4,5.7
45.7,5.7
56,5.8
55.5,5.8
53.6,5.8
49.5,5.8
61.8,5.9
59,5.9
56.9,5.9
55.3,5.9
54.1,5.9
53.3,5.9
46.8,5.9
45.9,5.9
49.6,6
46.3,6
67,6.1
62.9,6.1
54.3,6.1
61,6.2
59.7,6.2
58.9,6.2
56.2,6.2
49.8,6.2
46.8,6.2
63.5,6.3
63,6.3
62.7,6.3
62.2,6.3
61.8,6.3
57.5,6.3
57,6.3
47.6,6.3
65,6.4
61.4,6.4
60,6.4
55.4,6.4
55,6.4
52.1,6.4
48.6,6.4
47.1,6.4
64.2,6.5
62,6.5
61,6.5
56.7,6.5
55.9,6.5
66.2,6.6
63,6.6
61.3,6.6
59.1,6.6
57.2,6.6
55.5,6.6
54.7,6.6
49.2,6.6
48.3,6.6
64.4,6.7
64,6.7
58.1,6.7
52.5,6.7
51.6,6.7
51.2,6.7
51,6.7
39,6.7
63.2,6.8
62.1,6.8
62,6.8
57,6.8
56.3,6.8
49.8,6.8
47.4,6.8
59.3,6.9
51.4,6.9
63.5,7
62.7,7
62.5,7
56.6,7
54,7
41,7
62.8,7.1
61.7,7.1
58.5,7.1
58,7.1
56,7.1
55.6,7.1
53,7.1
52.8,7.1
52.5,7.1
